module,method,uri,name,action
Operations,GET|HEAD,admin/membership/sports-subscriptions-report,membership.sports-subscriptions-report,"App\Http\Controllers\MemberFeeRevenueController@sportsSubscriptionsReport"
Operations,GET|HEAD,admin/membership/sports-subscriptions-report/print,membership.sports-subscriptions-report.print,"App\Http\Controllers\MemberFeeRevenueController@sportsSubscriptionsReportPrint"
Operations,POST,admin/membership/store,membership.store,"App\Http\Controllers\MembershipController@store"
Operations,POST,admin/membership/store-step-4,membership.store-step-4,"App\Http\Controllers\MembershipController@storeStep4"
Operations,GET|HEAD,admin/membership/subscriptions-maintenance-summary,membership.subscriptions-maintenance-summary,"App\Http\Controllers\MemberFeeRevenueController@subscriptionsMaintenanceSummary"
Operations,GET|HEAD,admin/membership/subscriptions-maintenance-summary/print,membership.subscriptions-maintenance-summary.print,"App\Http\Controllers\MemberFeeRevenueController@subscriptionsMaintenanceSummaryPrint"
Operations,GET|HEAD,admin/membership/supplementary-card-report,membership.supplementary-card-report,"App\Http\Controllers\MemberFeeRevenueController@supplementaryCardReport"
Operations,GET|HEAD,admin/membership/supplementary-card-report/data,membership.supplementary-card-report.data,"App\Http\Controllers\MemberFeeRevenueController@supplementaryCardReportData"
Operations,GET|HEAD,admin/membership/supplementary-card-report/print,membership.supplementary-card-report.print,"App\Http\Controllers\MemberFeeRevenueController@supplementaryCardReportPrint"
Operations,GET|HEAD,admin/membership/transactions/bulk-migration,membership.transactions.bulk-migration,"App\Http\Controllers\MemberTransactionController@bulkMigration"
Operations,POST,admin/membership/transactions/bulk-store,membership.transactions.bulk-store,"App\Http\Controllers\MemberTransactionController@bulkStore"
Operations,GET|HEAD,admin/membership/transactions/dashboard,membership.transactions.dashboard,"App\Http\Controllers\MemberTransactionController@index"
Operations,GET|HEAD,admin/membership/transactions/manage,membership.transactions.index,"App\Http\Controllers\MemberTransactionController@getAllTransactions"
Operations,GET|HEAD,admin/membership/transactions/member/{memberId},membership.transactions.member,"App\Http\Controllers\MemberTransactionController@getMemberTransactions"
Operations,GET|HEAD,admin/membership/transactions/search,membership.transactions.search,"App\Http\Controllers\MemberTransactionController@searchMembers"
Operations,GET|HEAD,admin/membership/transactions/show/{id},membership.transactions.show,"App\Http\Controllers\MemberTransactionController@show"
Operations,GET|HEAD,admin/membership/trashed,membership.trashed,"App\Http\Controllers\MembershipController@trashed"
Operations,POST,admin/membership/update-status,membership.update-status,"App\Http\Controllers\MembershipController@updateStatus"
Operations,POST,admin/membership/update/{id},membership.update,"App\Http\Controllers\MembershipController@updateMember"
Operations,GET|HEAD,admin/membership/visit/detail,membership.detail,Closure
Operations,DELETE,admin/membership/{id},membership.destroy,"App\Http\Controllers\MembershipController@destroy"
Procurement/Purchase,GET|HEAD,admin/procurement/approval-actions,procurement.approval-actions.index,"App\Http\Controllers\Procurement\ApprovalActionController@index"
Procurement/Purchase,GET|HEAD,admin/procurement/cash-purchases,procurement.cash-purchases.index,"App\Http\Controllers\Procurement\CashPurchaseController@index"
